IPDB_ID	Genus_species_locus	ABGD_Genus_species_locus
Acanthaster_planciPac_CR_GuAc135	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_JAV1986.01	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_LAN09	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_SX1_06	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_RAJ2647.08	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_Kerm07	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HS12	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HAS2561.02	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MT-05	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_M67	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_TAL2124.11	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_T2-215	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_BIA1310.03	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_SOL2920.08	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MAL38	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_FLO2126.08	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_B2-312	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_NOL3310.15	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_Old27	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_GUA12	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HS35	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_NII02	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_Pohnpei22	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_B2-314	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_M87	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_RAJ2595.19	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KRA1207.03	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
